Tag,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ
1,-26.5501,23.9659,108.691,0.03,0.03,0.03,0,90,0
2,100,10.897,0,2,2,2,0,0,0
4,-100,0.897,0,0.1,0.1,0.1,0,0,0
6,83.543,23.25,100,10,10,10,0,0,0
6,53.946,23.25,100,10,10,10,0,0,0
7,29.731,0,100,10,10,10,0,0,0
6,10,23.25,100,10,10,10,0,0,0
6,-9.731,23.25,100,10,10,10,0,0,0
6,-31.256,23.25,100,10,10,10,0,0,0
6,-48.296,23.25,100,10,10,10,0,0,0
7,-61.435,0,100,10,10,10,0,0,0
6,-77.579,23.25,100,10,10,10,0,0,0
6,80.852,23.25,-100,10,10,10,0,0,0
7,71.3,0,-100,10,10,10,0,0,0
6,57.847,23.25,-100,10,10,10,0,0,0
6,44.081,23.25,-100,10,10,10,0,0,0
6,30.045,23.25,-100,10,10,10,0,0,0
6,69.507,17.6447,82.063,10,10,10,0,0,0
6,42.287,16.9441,79.821,10,10,10,0,0,0
6,78.475,2,0,10,10,10,0,0,0
7,18.071,0,-100,10,10,10,0,0,0
7,14.484,0,73.543,10,10,10,0,0,0
7,62.915,0,0,10,10,10,0,0,0
7,-67.713,0,0,10,10,10,0,0,0
7,-18.7,0,0,10,10,10,0,0,0
7,27.937,0,0,10,10,10,0,0,0
7,-48.879,0,80.717,10,10,10,0,0,0
6,44.395,2,0,10,10,10,0,0,0
6,-46.502,2,0,10,10,10,0,0,0
6,5.83,23.25,-100,10,10,10,0,0,0
6,-7.937,23.25,-100,10,10,10,0,0,0
6,-45.605,23.25,-100,10,10,10,0,0,0
6,-26.771,23.25,-100,10,10,10,0,0,0
6,-63.543,23.25,-100,10,10,10,0,0,0
6,81.166,17.2241,-80.717,10,10,10,0,0,0
6,67.713,16.6638,-78.924,10,10,10,0,0,0
6,54.843,16.8037,-79.372,10,10,10,0,0,0
6,42.601,17.5044,-81.614,10,10,10,0,0,0
6,25.247,17.2241,-80.717,10,10,10,0,0,0
6,10.897,17.2241,-80.717,10,10,10,0,0,0
6,-5.83,17.2241,-80.717,10,10,10,0,0,0
6,-21.39,16.2431,-77.578,10,10,10,0,0,0
6,-36.323,17.2241,-80.717,10,10,10,0,0,0
6,-56.054,16.9441,-79.821,10,10,10,0,0,0
6,-2.242,16.1031,77.13,10,10,10,0,0,0
6,-23.767,17.7847,82.511,10,10,10,0,0,0
6,-66.816,17.5044,81.614,10,10,10,0,0,0
6,91.615,17.5044,81.614,10,10,10,0,0,0
6,-87.758,17.2241,80.717,10,10,10,0,0,0
6,-56.054,2,-20.628,10,10,10,0,0,0
6,63.811,2,16.144,10,10,10,0,0,0
