Tag,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ
6,0,0,0,1,1,1,0,0,0
7,100,2,100,10,10,10,0,0,0
7,91.031,2,100,10,10,10,0,0,0
7,100,2,83.408,10,10,10,0,0,0
7,89.821,2,84.305,10,10,10,0,0,0
7,0.135,2,100,10,10,10,0,0,0
7,10,2,100,10,10,10,0,0,0
7,10,2,83.857,10,10,10,0,0,0
7,0.135,2,84.305,10,10,10,0,0,0
8,-100,0,100,10,10,10,0,0,0
8,100,0,-100,10,10,10,0,0,0
8,100,0,0,10,10,10,0,0,0
8,-100,0,0,10,10,10,0,0,0
8,-100,0,-100,10,10,10,0,0,0
7,-89.552,2,0,10,10,10,0,0,0
7,-100,2,-14.35,10,10,10,0,0,0
7,-90.448,2,-13.453,10,10,10,0,0,0
7,10,2,-100,10,10,10,0,0,0
8,-0.762,0,-100,10,10,10,0,0,0
7,10,2,-83.408,10,10,10,0,0,0
7,-0.762,2,-83.408,10,10,10,0,0,0
7,100,2,-17.937,10,10,10,0,0,0
7,85.336,2,0,10,10,10,0,0,0
7,86.233,2,-18.834,10,10,10,0,0,0
7,100,2,-82.511,10,10,10,0,0,0
7,87.13,2,-100,10,10,10,0,0,0
7,85.336,2,-80.717,10,10,10,0,0,0
7,-86.861,2,100,10,10,10,0,0,0
7,-100,2,80.717,10,10,10,0,0,0
7,-90.448,2,81.614,10,10,10,0,0,0
7,-100,2,-87.892,10,10,10,0,0,0
7,-87.758,2,-87.892,10,10,10,0,0,0
7,-88.655,2,-100,10,10,10,0,0,0
2,-100,10,-53.812,2,2,2,0,3,0
4,100,0,36.771,0.1,0.1,0.1,0,5,0
3,93.722,-10,-54.709,10,10,10,0,0,0
3,-92.825,-10,33.184,10,10,10,0,0,0
5,-42.825,0,94.17,3,3,3,0,0,0
2,44.395,10,92.825,2,2,2,0,5,0
4,50,0,-100,0.1,0.1,0.1,0,0,0
5,-50,0,-100,3,3,3,0,0,0
7,44.978,2,27.803,10,10,10,0,0,0
7,45.874,2,0,10,10,10,0,0,0
7,45.874,2,-26.906,10,10,10,0,0,0
8,-50.09,0.897,-53.812,10,10,10,0,0,0
8,10,0,41.256,10,10,10,0,0,0
7,-48.296,2,25.112,10,10,10,0,0,0
7,-50.09,2,0,10,10,10,0,0,0
7,-50.09,2,-27.803,10.243,10,10,0,0,0
7,-3.139,2,36.771,10,10,10,0,0,0
